height (inches),left handspan (cm),right handspan (cm),sex,handedness,dominate eye
66,16.1,16.3,f,r,r
73,22.2,22.2,m,r,r
63,19.5,19.3,f,r,l
72,22,22,m,r,r
65,18.7,18.4,f,r,r
76,23,23.1,m,r,r
74,22.3,22.4,m,r,l
67,20.1,18.5,m,l,l
67,20.2,21.3,m,r,r
62,17.6,17.5,f,r,r
67,21.8,22.6,m,r,r
73,22.4,22.5,m,r,r
67,18,18,f,r,r
62,19.5,20,f,r,r
64,17.5,18,f,r,r
67,20.5,20,m,r,l
63,16,15.8,f,r,r
62,19.6,19.2,f,r,l
72,24,23.8,m,l,l
71,22.1,22.7,m,r,
65,17,17.7,f,r,l
62,17,17.5,f,r,r
64,17,17,f,r,l
69,20.2,19.5,f,r,r
72,22,22,m,r,l
64,15,14.6,f,r,r
67,20.2,20.1,f,r,r
67,21,20.1,f,l,r
69,18.9,19.8,f,r,l
65,18.4,18.5,f,r,r
64,19.8,19.5,f,r,l
67,20.5,21,m,r,r
72,22.5,22.8,m,r,r
65,19,18.5,f,r,r
70,20,20,f,r,l
65,14,15,f,r,l
70,18,17,f,r,r
67,17,17.5,f,r,r
70,20.8,19.9,m,r,r
68,20.1,19.9,f,r,r
66,19.7,19.5,f,r,l
63,20.5,20,f,r,l
64,18.5,18.5,f,r,r
64,16.5,16.5,f,r,r
70,16.4,16.6,m,r,r
72,20,21,m,r,r
74,21.9,22.2,m,r,l
66,20,20,f,r,r
62,20,20.2,f,l,r
75,18,20.5,m,r,r
69,19,20,m,r,l
67,20.4,20.4,m,r,r
63,18.2,18.5,m,r,r
70.5,22.5,22,m,r,l
65,15.5,16.4,f,r,
62,18,18.5,f,r,l
76,23,23,m,r,l
72,21.5,21.5,m,r,r
67,19.5,19.5,m,r,r
66.5,18.5,18.5,f,r,r
64,18.3,18.7,f,r,l
69,21.2,20.5,m,r,r
72,21,20.9,m,r,l
70.5,22.8,22.9,m,r,r
68,15,14.5,f,r,r
72,19.1,18.6,m,r,r
67,19.7,19.3,f,r,r
67,16.9,17.3,f,r,l
65,15.5,16,f,r,r
72,21,21.5,m,r,l
68,15.1,17.7,f,r,r
76,22,22,m,r,r
62,16,17,f,r,r
70,19,19,m,r,r
73,21,21,m,r,r
71,19.7,19.6,m,r,l
67,20,20,m,r,l
71,21.1,20.7,m,r,l
67,20,20.4,m,r,l
69,22,21.5,m,r,r
72,24,24.5,m,l,l
61,20.1,20.1,f,l,r
68,21.4,21.5,f,r,r
70,21.2,21.2,m,r,l
72,20,19.4,m,r,l
67,21.9,21.2,m,r,r
60.6,16.4,16.3,f,r,l
72,20.3,20.5,f,r,r
65,20,20.4,f,r,r
72,20.5,20.5,m,r,l
72,21.9,21.9,m,r,r
67,19.3,19.3,f,r,r
62,18,18,f,l,r
78,23,24,m,r,r
62,18,18.5,f,r,l
63,18,19.3,f,r,r
63,18.5,18.5,f,r,r
69,21.5,22,m,l,r
63,17.4,17.4,f,l,r
74,22,22.1,m,r,r
71,23,23.5,m,l,l
72,22.2,21.5,m,l,r
66,21.5,21.5,m,r,r
73,22,22,m,r,l
70,23.5,23.8,m,r,l
72,23.3,23,m,r,l
62,19,17,f,l,r
70,23.1,22.9,m,r,l
74,22,22.7,m,r,r
71.75,20,20.4,m,r,r
65,19,19,m,r,r
71,22,21.5,m,r,l
71,20.1,20.3,m,r,r
63,20,20,f,r,r
65,19.5,20.5,,r,r
63,18,18,f,r,r
63,18,18,f,r,r
68,22,21.5,f,r,l
65,20.3,19.5,f,l,l
66,17,17,f,r,r
,21.5,21.5,f,l,l
73,20.3,20.2,m,r,r
64,20,20,f,r,r
72,23.8,24.2,m,r,r
60,19,19,f,r,r
69,20,20,,r,r
72,18.5,20,m,r,r
70,21.5,22,f,r,r
70,21,21,m,r,r
77,22.5,22.6,m,r,l
67,18.5,19.2,f,r,r
64,21.4,21.3,f,r,l
71,20.5,20,m,r,r
67,20,19,f,r,l
68,20,20.5,m,r,r
60,14.4,14.7,f,r,r
65,19.5,19.6,f,r,l
73,22.6,22.6,m,r,r
71,19.8,19.8,m,r,r
70,23.7,23.9,m,r,r
69,21,21,f,r,l
72,23,23,m,r,l
74,19.5,18,m,r,l
74,21.4,20.8,m,r,r
70,20,19.5,m,r,r
