height (inches),left handspan (cm),right handspan (cm),sex,handedness,dominate eye
70,20.5,19.9,m,l,r
63,20.5,21,f,r,l
73,22.5,21.8,m,r,l
72,24.6,24.5,m,r,r
67,21,22,m,r,l
71,22.5,22.6,m,r,l
67,17.5,17.5,f,r,r
62.5,15,15,f,r,l
66,21.5,21,m,r,r
70,18.6,19,f,r,r
65,20.6,19.9,f,r,r
64,19.5,19.4,f,r,r
62,13.1,16.8,f,l,l
62,19.5,19.1,f,r,l
77,21.2,22.3,m,r,l
58.5,18.5,19,f,r,r
62,16,16,f,l,l
62,15.9,15.7,f,r,r
59,15,15,f,r,l
63,21,21,f,r,r
65,18,18.5,f,r,r
62,18,18.5,f,r,r
60,19.8,20.6,f,r,r
61,16,18,f,r,r
62.5,19.5,19.5,f,r,l
63,19,19,f,r,l
79,25,24.8,m,r,r
68,23,23,f,r,r
66,20,20,f,r,l
64,18,19.4,f,r,r
73,24.5,24,m,r,r
72,21.5,22.5,m,r,r
70,19.5,19.5,f,r,l
65,17.5,18,f,r,r
77,23.8,24.5,m,r,r
63,17.3,17.4,f,l,l
68,19,19,f,r,l
67,20,19.5,f,r,r
65,20,19,f,r,r
61,20,20,f,r,r
70,21.5,21,f,r,r
70,20,19,f,r,r
67,19.6,20.1,m,r,r
66,19,19,f,r,l
72,16,17,m,r,r
70,21.1,21.4,m,r,l
67,20.6,20.4,m,l,r
74.5,23,23.5,m,r,l
67.5,17,17,f,r,r
69.5,15.5,16.5,f,r,r
69,19,19,f,r,l
72,24.6,24.5,m,r,r
73.5,23,23.5,m,l,r
63.5,19.5,19.5,f,r,l
69,23,23,f,r,r
69,19.5,19,f,r,r
67,19,19.5,f,r,r
73,21.3,20.4,m,r,r
72,15.9,15.7,m,r,r
64,12,12,f,l,l
78,25,25,m,l,r
79,25,25,m,r,r
69,23.5,22,m,l,l
69,22.5,22,m,r,r
68,20.8,20.4,m,r,l
69,23.4,23.5,m,r,r
73,23.5,23.7,m,r,r
62,17.5,17.8,f,r,l
67,20,20,f,r,l
62,19,19.5,f,r,r
66,21.2,20.3,f,r,l
72,22.6,22.2,m,r,l
67,22,22.5,f,r,r
66,20,20,m,r,r
68,21,21,m,l,r
67,17,18,m,r,l
70,23,22.5,m,r,r
70,22,21.5,m,r,l
65,20,20,f,r,r
65,19.8,19.6,f,r,l
64,19,19,f,r,r
60,18,19,f,r,r
66,19.5,19.7,f,r,l
65,12.5,21.5,m,r,l
71,24.7,24.7,m,r,r
67,19,19,f,l,l
68,22.5,21.5,m,r,l
65,21,20.5,f,r,l
66,18.7,18.9,f,r,r
70,24.5,24.5,m,r,r
65,23,23,m,r,l
63,21.1,21.1,f,r,l
70,20,20,m,l,r
65,19,19,f,r,r
61,14,15.5,f,r,r
72,21.5,23.1,m,r,r
63,19.9,19.5,f,r,r
64,20.5,20.8,f,r,l
61,19.5,19,f,r,l
63,19.3,19,f,r,r
71,22,22,m,r,l
58,15,15,f,r,l
64,18,17,f,l,r
64,18,18.2,f,r,l
68,21,19,f,r,l
62,20.5,20.5,f,r,r
63,20.3,20.2,f,r,r
67,22,22,f,r,r
67,23,22.5,m,r,r
64,17.5,17.4,f,r,r
61,15,16,f,r,r
69,20.5,21,f,l,l
67,18.5,18.5,f,r,r
64,18.5,19.5,f,r,r
68,19.4,20.1,f,r,l
68,19,20,f,r,r
74,21.6,21.5,m,r,r
67,19.4,19.6,f,r,r
64,20.7,20.6,f,r,l
66,19.5,19.5,f,r,r
70,20,19.8,f,r,l
66,18,18,f,r,r
73,21.5,22,m,r,l
70,22,23.5,f,r,r
65,19,20,f,r,r
63,21,22,f,r,r
71,22.5,22,m,r,r
68,18.6,18.2,f,r,r
69,23,22,m,r,r
56,20.6,20.6,m,r,r
68,20.5,20.3,m,r,r
66,17.5,17.9,f,r,l
