"","Mean_Temp","Num_Total_Crimes"
"455",59,481
"456",56,451
"457",60,522
"458",62,511
"459",64,519
"460",63,528
"461",67,562
"462",71,520
"463",69,511
"464",67,553
"465",65,584
"466",64,512
"467",60,534
"468",60,489
"469",59,454
"470",57,477
"471",62,522
"472",67,548
"473",66,524
"474",67,509
"475",64,461
"476",60,510
"477",61,485
"478",64,535
"479",66,580
"480",65,547
"481",63,513
"482",64,516
"483",66,506
"484",72,595
"485",77,599
"486",76,578
"487",81,576
"488",79,569
"489",75,514
"490",73,585
"491",65,680
"492",67,615
"493",68,582
"494",69,539
"495",69,495
"496",75,499
"497",69,525
"498",66,520
"499",64,539
"500",68,550
"501",73,517
"502",72,524
"503",76,529
"504",69,514
"505",70,497
"506",70,627
"507",70,534
"508",70,561
"509",70,503
"510",74,507
"511",74,546
"512",74,527
"513",74,590
"514",68,581
"515",64,514
"516",68,543
"517",70,532
"518",69,537
"519",62,524
"520",66,487
"521",71,583
"522",75,647
"523",75,590
"524",75,545
"525",74,532
"526",72,506
"527",69,565
"528",70,656
"529",69,589
"530",70,549
"531",72,535
"532",73,548
"533",73,526
"534",75,583
"535",72,545
"536",73,569
"537",72,551
"538",70,550
"539",75,569
"540",71,536
"541",69,570
"542",71,598
"543",65,523
"544",71,579
"545",72,534
"546",72,550
"547",73,551
"548",74,493
"549",74,581
"550",74,568
"551",72,552
"552",71,546
"553",68,537
"554",66,497
"555",65,566
"556",69,584
"557",72,588
"558",73,529
"559",77,517
"560",79,534
"561",72,534
"562",68,551
"563",71,612
"564",65,541
"565",65,541
"566",63,452
"567",64,449
"568",64,505
"569",63,527
"570",61,567
"571",60,502
"572",60,493
"573",56,428
"574",56,448
"575",58,481
"576",53,492
"577",61,584
"578",55,463
"579",56,444
"580",56,455
"581",49,468
"582",51,465
"583",55,525
"584",57,511
"585",59,501
"586",58,487
"587",54,447
"588",51,437
"589",53,482
"590",55,492
"591",54,445
"592",54,456
"593",55,452
"594",55,463
"595",53,418
"596",56,474
"597",57,538
"598",53,528
"599",54,455
"600",59,495
"601",58,488
"602",57,506
"603",57,462
"604",54,502
"605",56,504
"606",54,490
"607",49,460
"608",46,437
"609",45,421
"610",55,552
"611",51,591
"612",50,542
"613",47,459
"614",48,468
"615",50,446
"616",52,456
"617",53,481
"618",51,471
"619",46,490
"620",50,477
"621",51,444
"622",52,442
"623",50,416
"624",46,455
"625",44,511
"626",48,434
"627",51,412
"628",53,472
"629",46,409
"630",40,406
"631",38,428
"632",37,484
"633",43,403
"634",40,413
"635",40,390
"636",40,471
"637",41,447
"638",41,331
"639",36,371
"640",46,394
"641",53,398
"642",43,455
"643",35,412
"644",30,388
"645",26,415
"646",27,397
"647",23,423
"648",20,426
"649",22,412
"650",31,400
"651",34,418
"652",32,422
"653",41,484
"654",40,492
"655",43,429
"656",42,503
"657",38,420
"658",37,460
"659",33,420
"660",40,436
"661",47,455
"662",49,465
"663",43,471
"664",35,443
"665",38,322
"666",38,379
"667",36,396
"668",41,418
"669",37,375
"670",39,397
"671",42,455
"672",39,553
"673",41,383
"674",39,466
"675",34,429
"676",37,418
"677",37,414
"678",40,383
"679",46,376
"680",45,409
"681",53,440
"682",51,444
"683",49,410
"684",51,473
"685",43,426
"686",40,424
"687",37,423
"688",38,469
"689",39,484
"690",39,395
"691",41,394
"692",39,391
"693",40,377
"694",40,391
"695",41,466
"696",39,453
"697",36,386
"698",37,389
"699",42,388
"700",47,407
"701",46,449
"702",45,463
"703",42,483
"704",39,431
"705",37,459
"706",31,378
"707",25,356
"708",21,426
"709",24,432
"710",28,406
"711",30,299
"712",37,336
"713",46,387
"714",50,421
"715",50,449
"716",50,513
"717",49,511
"718",46,458
"719",49,436
"720",46,405
"721",42,392
"722",45,427
"723",45,468
"724",39,463
"725",42,438
"726",43,463
"727",45,449
"728",46,397
"729",41,370
"730",49,464
"731",41,477
"732",43,414
"733",51,437
"734",54,465
"735",53,429
"736",51,423
"737",53,521
"738",47,464
"739",55,488
"740",46,455
"741",47,520
"742",49,473
"743",48,474
"744",54,537
"745",53,567
"746",52,470
"747",47,454
"748",48,482
"749",47,406
"750",42,443
"751",46,469
"752",48,432
"753",49,484
"754",53,519
"755",53,496
"756",49,450
"757",52,480
"758",50,465
"759",52,489
"760",48,434
"761",49,466
"762",48,424
"763",52,478
"764",51,478
"765",53,551
"766",51,463
